Date,Close/Last,Volume,Open,High,Low
03/17/2022,25.616,38017,25.24,25.75,25.165
03/16/2022,24.71,43988,25.115,25.25,24.55
03/15/2022,25.158,45952,25.26,25.315,24.75
03/14/2022,25.298,50948,26.28,26.29,25.16
03/11/2022,26.16,49495,26.255,26.35,25.695
03/10/2022,26.256,54641,26.06,26.425,25.6
03/09/2022,25.816,83393,26.925,27.39,25.73
03/08/2022,26.895,121212,25.805,27.495,25.55
03/07/2022,25.72,77213,26.025,26.37,25.465
03/04/2022,25.789,65533,25.285,25.92,25.155
03/03/2022,25.212,53944,25.45,25.665,25.075
03/02/2022,25.19,65990,25.505,25.545,24.96
03/01/2022,25.541,64008,24.455,25.65,24.345
02/28/2022,24.366,53160,24.62,24.88,24.155
02/25/2022,24.017,65754,24.33,24.55,23.92
02/24/2022,24.71,89079,24.65,25.705,23.88
02/23/2022,24.598,36607,24.2,24.66,24.095
02/22/2022,24.356,41701,24.095,24.425,23.755
02/18/2022,24.038,17562,23.9,24.165,23.745
02/17/2022,23.922,14657,23.675,23.975,23.48
02/16/2022,23.654,15640,23.45,23.71,23.34
02/15/2022,23.39,13459,23.935,24.06,23.125
02/14/2022,23.897,9286,23.65,24.015,23.605
02/11/2022,23.369,70913,23.205,23.71,22.855
02/10/2022,23.522,72504,23.31,23.735,23.145
02/09/2022,23.341,47608,23.195,23.365,23.095
02/08/2022,23.2,46955,23.025,23.265,22.77
02/07/2022,23.076,53794,22.535,23.11,22.5
02/04/2022,22.475,45473,22.42,22.69,22.1
02/03/2022,22.375,51746,22.65,22.66,21.985
02/02/2022,22.707,36340,22.64,22.875,22.465
02/01/2022,22.595,46139,22.49,23.06,22.405
01/31/2022,22.393,37266,22.475,22.655,22.25
01/28/2022,22.301,61854,22.79,22.83,22.15
01/27/2022,22.676,79283,23.565,23.625,22.585
01/26/2022,23.807,54823,23.85,24.025,23.46
01/25/2022,23.896,52467,24.045,24.045,23.635
01/24/2022,23.8,70723,24.305,24.36,23.595
01/21/2022,24.32,59951,24.525,24.64,24.205
01/20/2022,24.716,70806,24.185,24.755,24.125
01/19/2022,24.231,70644,23.505,24.265,23.43
01/18/2022,23.492,102213,22.995,23.68,22.82
01/14/2022,22.918,49788,23.115,23.345,22.845
01/13/2022,23.162,50043,23.19,23.315,23.025
01/12/2022,23.207,51846,22.82,23.26,22.68
01/11/2022,22.812,44573,22.5,22.86,22.48
01/10/2022,22.462,41172,22.385,22.54,22.205
01/07/2022,22.409,52902,22.195,22.46,21.945
01/06/2022,22.19,71447,22.81,22.85,22
01/05/2022,23.17,40266,23.095,23.3,22.75
01/04/2022,23.056,43457,22.92,23.14,22.655
01/03/2022,22.81,44194,23.385,23.44,22.69
12/31/2021,23.352,28585,23.095,23.39,23.07
12/30/2021,23.06,29796,22.87,23.155,22.63
12/29/2021,22.858,39201,23.05,23.185,22.6
12/28/2021,23.121,41202,23.105,23.48,23.005
12/27/2021,22.989,37238,22.9,23.15,22.655
12/23/2021,22.94,33033,22.815,22.965,22.68
12/22/2021,22.819,34490,22.525,22.86,22.44
12/21/2021,22.529,44862,22.29,22.805,22.185
12/20/2021,22.291,34183,22.39,22.435,22.19
12/17/2021,22.533,38416,22.53,22.69,22.355
12/16/2021,22.485,54317,22.07,22.56,21.93
12/15/2021,21.545,63186,21.945,22.13,21.41
12/14/2021,21.924,51383,22.35,22.355,21.67
12/13/2021,22.328,31480,22.195,22.43,22.16
12/10/2021,22.195,43031,21.975,22.24,21.815
12/09/2021,22.013,56607,22.435,22.475,21.84
12/08/2021,22.432,28351,22.525,22.58,22.305
12/07/2021,22.523,37481,22.395,22.625,22.23
12/06/2021,22.263,38544,22.61,22.635,22.125
12/03/2021,22.481,51727,22.41,22.59,22.035
12/02/2021,22.316,43463,22.335,22.505,22.215
12/01/2021,22.339,60609,22.875,23.06,22.185
11/30/2021,22.815,65424,22.93,23.355,22.705
11/29/2021,22.852,63030,23.16,23.46,22.775
11/26/2021,23.135,54339,23.61,23.77,22.935
11/24/2021,23.536,31342,23.695,23.745,23.45
11/23/2021,23.492,35399,24.28,24.405,23.335
11/22/2021,24.362,20934,24.725,25.02,24.21
11/19/2021,24.844,16775,24.92,25.1,24.67
11/18/2021,24.96,16559,25.2,25.28,24.79
11/17/2021,25.223,10983,24.92,25.335,24.91
11/16/2021,24.999,11997,25.185,25.54,24.88
11/15/2021,25.105,67966,25.425,25.465,24.97
11/12/2021,25.346,65557,25.35,25.47,24.925
11/11/2021,25.301,75998,24.71,25.365,24.645
11/10/2021,24.772,123405,24.375,25.22,24.04
11/09/2021,24.318,60150,24.55,24.565,24.09
11/08/2021,24.542,61978,24.285,24.59,24.13
11/05/2021,24.157,68568,23.87,24.255,23.665
11/04/2021,23.911,66052,23.53,24.115,23.485
11/03/2021,23.231,65294,23.57,23.665,23.045
11/02/2021,23.507,60956,24.13,24.14,23.43
11/01/2021,24.073,35793,23.985,24.175,23.81
10/29/2021,23.949,56590,24.135,24.14,23.705
10/28/2021,24.12,45204,24.13,24.31,24.02
10/27/2021,24.191,47363,24.22,24.33,23.905
10/26/2021,24.088,60188,24.65,24.655,23.925
10/25/2021,24.592,43593,24.395,24.695,24.365
10/22/2021,24.449,79709,24.22,24.92,24.185
10/21/2021,24.17,57479,24.37,24.55,24.07
10/20/2021,24.445,70427,23.71,24.495,23.615
10/19/2021,23.883,76326,23.25,24.18,23.22
10/18/2021,23.264,46484,23.38,23.495,23.035
10/15/2021,23.349,50497,23.565,23.645,23.1
10/14/2021,23.477,52250,23.1,23.625,22.925
10/13/2021,23.17,68834,22.57,23.285,22.48
10/12/2021,22.514,41629,22.61,22.79,22.325
10/11/2021,22.665,28995,22.685,22.83,22.495
10/08/2021,22.705,67334,22.61,23.22,22.435
10/07/2021,22.658,40165,22.64,22.84,22.385
10/06/2021,22.532,38173,22.635,22.7,22.185
10/05/2021,22.608,26336,22.725,22.73,22.38
10/04/2021,22.644,34535,22.6,22.805,22.29
10/01/2021,22.536,42261,22.185,22.6,21.99
09/30/2021,22.047,64028,21.515,22.225,21.46
09/29/2021,21.485,77565,22.475,22.565,21.41
09/28/2021,22.467,54308,22.625,22.68,22.08
09/27/2021,22.694,35208,22.395,22.865,22.39
09/24/2021,22.425,41005,22.53,22.79,22.09
09/23/2021,22.679,42215,22.695,22.88,22.465
09/22/2021,22.907,50214,22.485,23.15,22.455
09/21/2021,22.611,40127,22.265,22.72,22.21
09/20/2021,22.204,50401,22.33,22.5,22.025
